policy,representation,model_seed,ablation,case_id,seed,object_count,condition,layout_mode,success,bilateral_contact,stable_lift,wrong_object_stable_grasp,dropped,placement,ik_failure,physics_failure,steps,termination_reason,physics_hash,initial_state_hash,transport_progress,transport_progress_rate,premature_open
graph_seed_0,graph,0,none,count_ood:5:3303580031,3303580031,5,count_ood,normal,False,False,False,False,False,False,True,True,84,physics_failure,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,06120bbe02c2ce42d7aef4fba6b9735037e4d8fcc1fad82e7ce2507383a25e49,0.0,0.0,False
graph_seed_0,graph,0,none,count_ood:5:2800995650,2800995650,5,count_ood,normal,False,False,False,False,False,False,True,True,63,physics_failure,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,b50bd59feb3c5046c67cb38e8b432abeb359ac331c4b3da5296b0e9908dc4cf3,0.0,0.0,False
graph_seed_0,graph,0,none,crowded_ood:4:1824404925,1824404925,4,crowded_ood,crowded,False,False,False,False,False,False,False,False,180,timeout,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,da79e450b0af349d8d457b0472e623beedbc0b195329e70811364adfa3283393,0.0,0.0,False
graph_seed_0,graph,0,none,crowded_ood:4:2956408373,2956408373,4,crowded_ood,crowded,False,False,False,False,False,False,True,True,102,physics_failure,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,338e56118c058fd641819ac5965b8a4912ffe2fee6e2a2b57c254c21cc32e487,0.0,0.0,False
graph_seed_0,graph,0,none,crowded_ood:4:1546288831,1546288831,4,crowded_ood,crowded,False,False,False,False,False,False,True,True,85,physics_failure,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,bcd9ef80f9d6d1772fe63555b086caf9054fe772f5b2df134f07529f793342de,0.0,0.0,False
graph_seed_0,graph,0,none,crowded_ood:4:1330887711,1330887711,4,crowded_ood,crowded,False,False,False,False,False,False,True,True,70,physics_failure,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,69b0fe812510dba03b6ae856e36605af739c02cd919fbcc3e63352ddb4e7f5d8,0.0,0.0,False
graph_seed_0,graph,0,none,crowded_ood:4:1400296105,1400296105,4,crowded_ood,crowded,False,False,False,False,False,False,True,True,117,physics_failure,aa48439733886bd583b01221039413a8842465cf1179720858e892cb1800f5d1,6c9386fee32b3112384e291904ac61072e9c2b074d6f934418a90f900c6f34ec,0.0,0.0,False
graph_seed_0,graph,0,none,crowded_ood:5:440647837,440647837,5,crowded_ood,crowded,False,False,False,False,False,False,True,True,49,physics_failure,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,e4c5ec95baa6024fb1438fc81a655d84830edd1763b074e8f2534cb923df23e9,0.0,0.0,False
graph_seed_0,graph,0,none,crowded_ood:5:706795356,706795356,5,crowded_ood,crowded,False,False,False,False,False,False,True,True,105,physics_failure,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,a9a29b128753b92f90185d00c5c7a545c9ce44480844e29b3065ec937c0106d4,0.0,0.0,False
graph_seed_0,graph,0,none,crowded_ood:5:4272924380,4272924380,5,crowded_ood,crowded,False,False,False,False,False,False,True,True,85,physics_failure,7b1d1f028bd64e4e70b4be9244c4f91421732bd9e1ebfcdce2ebdedb44736588,d37c56aea19737c2fb659be4b11296d79b3e54c59aafcb170f6f38ee49ecf9d0,0.0,0.0,False
